Ticker,Sector
360ONE.NS,Financial Services
3MINDIA.NS,Diversified
AADHARHFC.NS,Financial Services
AARTIIND.NS,Chemicals
AAVAS.NS,Financial Services
ABB.NS,Capital Goods
ABBOTINDIA.NS,Healthcare
ABCAPITAL.NS,Financial Services
ABDL.NS,Fast Moving Consumer Goods
ABFRL.NS,Consumer Services
ABLBL.NS,Consumer Services
ABREL.NS,Realty
ABSLAMC.NS,Financial Services
ACC.NS,Construction Materials
ACE.NS,Capital Goods
ACMESOLAR.NS,Power
ACUTAAS.NS,Healthcare
ADANIENSOL.NS,Power
ADANIENT.NS,Metals & Mining
ADANIGREEN.NS,Power
ADANIPORTS.NS,Services
ADANIPOWER.NS,Power
AEGISLOG.NS,Oil Gas & Consumable Fuels
AEGISVOPAK.NS,Oil Gas & Consumable Fuels
AFCONS.NS,Construction
AFFLE.NS,Information Technology
AIAENG.NS,Capital Goods
AIIL.NS,Financial Services
AJANTPHARM.NS,Healthcare
ALKEM.NS,Healthcare
AMBER.NS,Consumer Durables
AMBUJACEM.NS,Construction Materials
ANANDRATHI.NS,Financial Services
ANANTRAJ.NS,Realty
ANGELONE.NS,Financial Services
ANTHEM.NS,Healthcare
ANURAS.NS,Chemicals
APARINDS.NS,Capital Goods
APLAPOLLO.NS,Capital Goods
APOLLOHOSP.NS,Healthcare
APOLLOTYRE.NS,Automobile and Auto Components
APTUS.NS,Financial Services
ARE&M.NS,Automobile and Auto Components
ASAHIINDIA.NS,Automobile and Auto Components
ASHOKLEY.NS,Capital Goods
ASIANPAINT.NS,Consumer Durables
ASTERDM.NS,Healthcare
ASTRAL.NS,Capital Goods
ATGL.NS,Oil Gas & Consumable Fuels
ATHERENERG.NS,Automobile and Auto Components
ATUL.NS,Chemicals
AUBANK.NS,Financial Services
AUROPHARMA.NS,Healthcare
AWL.NS,Fast Moving Consumer Goods
AXISBANK.NS,Financial Services
BAJAJ-AUTO.NS,Automobile and Auto Components
BAJAJFINSV.NS,Financial Services
BAJAJHFL.NS,Financial Services
BAJAJHLDNG.NS,Financial Services
BAJFINANCE.NS,Financial Services
BALKRISIND.NS,Automobile and Auto Components
BALRAMCHIN.NS,Fast Moving Consumer Goods
BANDHANBNK.NS,Financial Services
BANKBARODA.NS,Financial Services
BANKINDIA.NS,Financial Services
BATAINDIA.NS,Consumer Durables
BAYERCROP.NS,Chemicals
BBTC.NS,Fast Moving Consumer Goods
BDL.NS,Capital Goods
BEL.NS,Capital Goods
BELRISE.NS,Automobile and Auto Components
BEML.NS,Capital Goods
BERGEPAINT.NS,Consumer Durables
BHARATFORG.NS,Automobile and Auto Components
BHARTIARTL.NS,Telecommunication
BHARTIHEXA.NS,Telecommunication
BHEL.NS,Capital Goods
BIKAJI.NS,Fast Moving Consumer Goods
BIOCON.NS,Healthcare
BLS.NS,Consumer Services
BLUEDART.NS,Services
BLUEJET.NS,Healthcare
BLUESTARCO.NS,Consumer Durables
BOSCHLTD.NS,Automobile and Auto Components
BPCL.NS,Oil Gas & Consumable Fuels
BRIGADE.NS,Realty
BRITANNIA.NS,Fast Moving Consumer Goods
BSE.NS,Financial Services
BSOFT.NS,Information Technology
CAMS.NS,Financial Services
CANBK.NS,Financial Services
CANFINHOME.NS,Financial Services
CANHLIFE.NS,Financial Services
CAPLIPOINT.NS,Healthcare
CARBORUNIV.NS,Capital Goods
CARTRADE.NS,Consumer Services
CASTROLIND.NS,Oil Gas & Consumable Fuels
CCL.NS,Fast Moving Consumer Goods
CDSL.NS,Financial Services
CEATLTD.NS,Automobile and Auto Components
CEMPRO.NS,Construction
CENTRALBK.NS,Financial Services
CESC.NS,Power
CGCL.NS,Financial Services
CGPOWER.NS,Capital Goods
CHALET.NS,Consumer Services
CHAMBLFERT.NS,Chemicals
CHENNPETRO.NS,Oil Gas & Consumable Fuels
CHOICEIN.NS,Financial Services
CHOLAFIN.NS,Financial Services
CHOLAHLDNG.NS,Financial Services
CIEINDIA.NS,Automobile and Auto Components
CIPLA.NS,Healthcare
CLEAN.NS,Chemicals
COALINDIA.NS,Oil Gas & Consumable Fuels
COCHINSHIP.NS,Capital Goods
COFORGE.NS,Information Technology
COHANCE.NS,Healthcare
COLPAL.NS,Fast Moving Consumer Goods
CONCOR.NS,Services
CONCORDBIO.NS,Healthcare
COROMANDEL.NS,Chemicals
CPPLUS.NS,Capital Goods
CRAFTSMAN.NS,Automobile and Auto Components
CREDITACC.NS,Financial Services
CRISIL.NS,Financial Services
CROMPTON.NS,Consumer Durables
CUB.NS,Financial Services
CUMMINSIND.NS,Capital Goods
CYIENT.NS,Information Technology
DABUR.NS,Fast Moving Consumer Goods
DALBHARAT.NS,Construction Materials
DATAPATTNS.NS,Capital Goods
DCMSHRIRAM.NS,Diversified
DEEPAKFERT.NS,Chemicals
DEEPAKNTR.NS,Chemicals
DELHIVERY.NS,Services
DEVYANI.NS,Consumer Services
DIVISLAB.NS,Healthcare
DIXON.NS,Consumer Durables
DLF.NS,Realty
DMART.NS,Consumer Services
DOMS.NS,Fast Moving Consumer Goods
DRREDDY.NS,Healthcare
DUMMYVEDL1.NS,Metals & Mining
DUMMYVEDL2.NS,Power
DUMMYVEDL3.NS,Oil Gas & Consumable Fuels
DUMMYVEDL4.NS,Metals & Mining
ECLERX.NS,Services
EICHERMOT.NS,Automobile and Auto Components
EIDPARRY.NS,Fast Moving Consumer Goods
EIHOTEL.NS,Consumer Services
ELECON.NS,Capital Goods
ELGIEQUIP.NS,Capital Goods
EMAMILTD.NS,Fast Moving Consumer Goods
EMCURE.NS,Healthcare
EMMVEE.NS,Capital Goods
ENDURANCE.NS,Automobile and Auto Components
ENGINERSIN.NS,Construction
ENRIN.NS,Capital Goods
ERIS.NS,Healthcare
ESCORTS.NS,Capital Goods
ETERNAL.NS,Consumer Services
EXIDEIND.NS,Automobile and Auto Components
FACT.NS,Chemicals
FEDERALBNK.NS,Financial Services
FINCABLES.NS,Capital Goods
FIRSTCRY.NS,Consumer Services
FIVESTAR.NS,Financial Services
FLUOROCHEM.NS,Chemicals
FORCEMOT.NS,Automobile and Auto Components
FORTIS.NS,Healthcare
FSL.NS,Services
GABRIEL.NS,Automobile and Auto Components
GAIL.NS,Oil Gas & Consumable Fuels
GALLANTT.NS,Capital Goods
GESHIP.NS,Services
GICRE.NS,Financial Services
GILLETTE.NS,Fast Moving Consumer Goods
GLAND.NS,Healthcare
GLAXO.NS,Healthcare
GLENMARK.NS,Healthcare
GMDCLTD.NS,Metals & Mining
GMRAIRPORT.NS,Services
GODFRYPHLP.NS,Fast Moving Consumer Goods
GODIGIT.NS,Financial Services
GODREJCP.NS,Fast Moving Consumer Goods
GODREJIND.NS,Diversified
GODREJPROP.NS,Realty
GPIL.NS,Capital Goods
GRANULES.NS,Healthcare
GRAPHITE.NS,Capital Goods
GRASIM.NS,Construction Materials
GRAVITA.NS,Metals & Mining
GROWW.NS,Financial Services
GRSE.NS,Capital Goods
GVT&D.NS,Capital Goods
HAL.NS,Capital Goods
HAVELLS.NS,Consumer Durables
HBLENGINE.NS,Capital Goods
HCLTECH.NS,Information Technology
HDBFS.NS,Financial Services
HDFCAMC.NS,Financial Services
HDFCBANK.NS,Financial Services
HDFCLIFE.NS,Financial Services
HEG.NS,Capital Goods
HEROMOTOCO.NS,Automobile and Auto Components
HEXT.NS,Information Technology
HFCL.NS,Telecommunication
